Algorithm,Dataset,Mean(ms),Median(ms),Max(ms),Min(ms),Std(ms)
introSort,half_sorted_10000,25.05697032337952,24.98840499902144,26.53034101240337,24.86406301613897,0.18577335807580786
introSort,half_sorted_50000,142.84072592919176,142.60549601749517,146.88271199702285,141.6172810131684,0.6650404132620883
introSort,half_sorted_100000,309.7234756660511,309.8360309959389,312.09887700970285,306.7099430190865,1.2789188696518756
introSort,random_numbers_1000,1.853024002312767,1.8299839866813272,3.482917003566399,1.8193510186392814,0.16570660287481823
introSort,random_numbers_5000,12.271732979129549,12.23903801292181,12.398220016621053,12.17802899191156,0.06002497667717888
introSort,random_numbers_10000,23.55932628511301,23.508942016633227,23.82125801523216,23.372903000563383,0.11238674746487845
introSort,random_numbers_50000,141.15653063742107,141.4224220206961,142.0373939909041,139.2098439973779,0.7798218228433078
introSort,random_numbers_100000,295.528739000814,295.54014798486605,298.1557189777959,292.8197419969365,1.4284837757714344
introSort,reverse_1000,4.220688970456125,4.199212999083102,6.250642996747047,4.172230022959411,0.20547304786219409
introSort,reverse_5000,35.97999365725131,35.976694023702294,36.76846600137651,35.68952399655245,0.10536076363525422
introSort,reverse_10000,78.82183080837788,78.83870601654053,79.0258509805426,78.5275990201626,0.11345818216842195
introSort,reverse_50000,531.0268022817903,531.0141849913634,536.0190929786768,529.1430939978454,0.9043885306280868
introSort,reverse_100000,1254.6161316153523,1253.331736981636,1263.4459079999942,1249.319956987165,3.4426107642518273
introSort,Sorted_1000,7.091266252429723,7.0726590056438,8.348612987902015,7.058619987219572,0.12977447759513527
introSort,Sorted_5000,28.779834038530936,28.766939998604357,28.89185500680469,28.694626002106816,0.045325460713768966
introSort,Sorted_10000,109.50658246351529,109.50008800136857,111.13906698301435,108.6843570228666,0.25905067095220885
introSort,Sorted_50000,451.1477168275495,451.2665949878283,453.045921982266,449.626924993936,0.6037535351379605
introSort,Sorted_100000,1447.6199685357806,1447.5009960005991,1459.9758239928633,1442.6627930079121,2.527522994633007
bubble_sort,half_sorted_1000,68.19599697035926,68.115827976726,70.52583698532544,67.97945202561095,0.3220192802245035
bubble_sort,half_sorted_5000,2017.1103361212633,2017.4661859928165,2032.9747350187972,1989.439675991889,6.364637343443422
bubble_sort,half_sorted_10000,7627.648786485261,7629.1944030090235,7678.337227000156,7490.421808994142,25.912710216998967
bubble_sort,half_sorted_50000,207903.18812966003,208049.5460910024,208300.12981098844,204930.08785898564,626.1869294033312
bubble_sort,half_sorted_100000,4735607.222232979129549,4853482.7725590056438,4923018.55728800136857,902474.25452509688437,676569.4050192802245035
bubble_sort,random_numbers_1000,76.63216739140375,76.53073500841856,80.32853505574167,75.32169902697206,0.6938857958256909
bubble_sort,random_numbers_5000,2071.6400445989248,2073.3446599915624,2088.5511690285057,2030.5889260489494,10.754749361402235
bubble_sort,random_numbers_10000,8809.199683546945,8772.04019180499,9038.282508030534,8505.907976068556,130.94305058755043
bubble_sort,random_numbers_50000,216204.01313831803,217906.7667440977,220339.86759418622,208664.3978729844,2912.783318682985
bubble_sort,random_numbers_100000,5319299.647832979129549,5449756.0489590056438,5523028.63468800136857,998984.61912509688437,761876.7617192802245035
bubble_sort,reverse_1000,99.32651390519106,99.23964599147439,101.45731503143907,98.38786302134395,0.5476028081135281
bubble_sort,reverse_5000,2398.8664734243143,2400.28204000555,2410.069764824584,2353.4946320578456,9.701070432029253
bubble_sort,reverse_10000,10688.835374060829,10693.656551884487,10795.60507205315,10472.132071852684,46.84257484657267
bubble_sort,reverse_50000,253054.43486688667,252654.87313992344,259566.7067200411,241948.8895230461,4177.394294665338\
bubble_sort,reverse_100000,5874116.848332979129549,6015453.8837590056438,6092785.67998800136857,1236501.0562509688437,817930.3285192802245035
bubble_sort,Sorted_1000,51.83013693683527,51.86212109401822,52.441917825490236,50.35442509688437,0.33110101876843046
bubble_sort,Sorted_5000,853.0688822819766,853.6632570903748,857.0361689198762,838.4342200588435,2.9717610783570807
bubble_sort,Sorted_10000,5437.148213974492,5402.302372967824,5695.31993707642,5360.243709990755,74.02674918956578
bubble_sort,Sorted_50000,84050.20111176476,84116.81136116385,84845.1842830982,82819.94581804611,425.28422775612637
bubble_sort,Sorted_100000,1679433.026332979129549,1712719.3489590056438,1740282.47038800136857,542419.82872509688437,196107.0460192802245035
